period_start,text_sentiment_label,review_count,average_rating
2011-05-23,negative,2,3.0
2011-05-23,positive,2,3.0
2011-05-30,neutral,3,1.0
2011-05-30,negative,2,1.5
2011-05-30,positive,1,2.0
2011-06-06,neutral,10,1.7
2011-06-06,positive,4,2.5
2011-06-06,negative,2,2.0
2011-06-13,neutral,9,1.6667
2011-06-13,positive,4,2.25
2011-06-13,negative,2,1.5
2011-06-20,neutral,7,1.5714
2011-06-20,positive,5,2.4
2011-06-20,negative,3,2.3333
2011-06-27,neutral,8,2.125
2011-06-27,positive,6,2.6667
2011-06-27,negative,5,1.8
2011-07-04,neutral,6,2.0
2011-07-04,positive,4,1.5
2011-07-04,negative,3,2.0
2011-07-11,neutral,3,1.3333
2011-07-11,positive,3,2.0
2011-07-11,negative,2,2.5
2011-07-18,neutral,8,1.5
2011-07-18,positive,6,2.5
2011-07-18,negative,2,1.5
2011-07-25,neutral,4,1.75
2011-07-25,negative,3,1.6667
2011-07-25,positive,2,3.0
2011-08-01,neutral,6,1.3333
2011-08-01,positive,3,2.6667
2011-08-01,negative,1,2.0
2011-08-08,positive,7,2.2857
2011-08-08,neutral,5,1.4
2011-08-08,negative,1,1.0
2011-08-15,neutral,6,1.3333
2011-08-15,positive,6,2.0
2011-08-15,negative,4,1.75
2011-08-22,neutral,13,1.9231
2011-08-22,positive,6,2.3333
2011-08-22,negative,3,2.6667
2011-08-29,neutral,7,2.5714
2011-08-29,negative,2,3.0
2011-08-29,positive,1,1.0
2011-09-05,positive,4,2.5
2011-09-05,negative,3,1.3333
2011-09-05,neutral,1,1.0
2011-09-12,neutral,5,1.6
2011-09-12,positive,5,1.8
2011-09-12,negative,4,1.75
2011-09-19,neutral,8,2.125
2011-09-19,positive,7,2.2857
2011-09-19,negative,2,2.0
2011-09-26,neutral,10,2.3
2011-09-26,positive,6,2.5
2011-09-26,negative,2,2.0
2011-10-03,negative,6,1.1667
2011-10-03,neutral,2,1.5
2011-10-03,positive,2,2.5
2011-10-10,neutral,7,2.2857
2011-10-10,negative,1,2.0
2011-10-17,positive,7,2.2857
2011-10-17,negative,3,2.3333
2011-10-17,neutral,3,1.6667
2011-10-24,positive,4,2.75
2011-10-24,negative,2,1.5
2011-10-24,neutral,2,2.5
2011-10-31,neutral,6,1.8333
2011-10-31,positive,2,2.5
2011-10-31,negative,1,1.0
2011-11-07,neutral,2,1.5
2011-11-07,positive,1,3.0
2011-11-14,neutral,3,1.0
2011-11-14,positive,3,2.6667
2011-11-14,negative,1,2.0
2011-11-21,positive,6,2.1667
2011-11-21,negative,1,1.0
2011-11-21,neutral,1,1.0
2011-11-28,neutral,5,1.2
2011-11-28,positive,2,1.5
2011-11-28,negative,1,2.0
2011-12-05,neutral,9,1.7778
2011-12-05,negative,3,1.0
2011-12-05,positive,2,1.0
2011-12-12,neutral,9,2.1111
2011-12-12,positive,7,2.1429
2011-12-12,negative,1,3.0
2011-12-19,positive,6,2.1667
2011-12-19,neutral,5,1.4
2011-12-19,negative,4,1.0
2011-12-26,positive,4,2.0
2011-12-26,negative,3,1.6667
2011-12-26,neutral,2,1.5
2012-01-02,positive,4,2.0
2012-01-02,neutral,3,1.6667
2012-01-02,negative,1,2.0
2012-01-09,neutral,7,1.8571
2012-01-09,positive,5,2.4
2012-01-16,neutral,5,1.8
2012-01-16,negative,1,1.0
2012-01-23,negative,8,1.75
2012-01-23,neutral,7,1.4286
2012-01-23,positive,5,1.4
2012-01-30,neutral,9,1.5556
2012-01-30,negative,5,1.8
2012-01-30,positive,4,1.0
2012-02-06,negative,11,1.6364
2012-02-06,positive,4,2.0
2012-02-06,neutral,1,1.0
2012-02-13,neutral,9,1.0
2012-02-13,positive,6,2.1667
2012-02-13,negative,4,1.25
2012-02-20,positive,9,2.7778
2012-02-20,neutral,6,1.5
2012-02-20,negative,4,1.25
2012-02-27,neutral,13,1.5385
