keyword,count
game,269099
app,183611
just,90501
time,78520
like,68323
play,67671
ads,65582
don,56153
money,48233
update,44929
good,42485
use,40098
pay,38284
phone,35978
work,33845
doesn,32890
order,32806
make,32602
ve,32331
new,31901
really,31489
way,31133
want,30729
fun,29985
fix,29346
